phoneId ;name;brand;price;review;rating;condition;imageUrl
77; P40 Lite E      ; Huawei    ; $179   ;;; Nuevo  ;https://www.maxmovil.com/media/catalog/product/cache/2c055c968235f5bf43b443aee4bb62c6/2/9/29766.-huawei-p40-lite-e-4gb-64gb-dual-sim-azul.jpg
78; K40             ; LG        ; $199   ;;; Nuevo  ;https://img.gkbcdn.com/p/2021-05-05/xiaomi-redmi-k40-gaming-edition-cn-version-6-67--12gb-256gb-black-1620200098560._w500_p1_.jpg
79; Zenfone 6Z      ; Asus      ; $699   ;;; Nuevo  ;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTauEQHVcpeYfbGGNBy03zrCWx-g_rPrAnXLA&s
80; Moto G9 Play    ; Motorola  ; $199   ;;; Nuevo  ;https://i.blogs.es/befed4/moto-g9-03/450_1000.jpg
81; iPhone 7        ; Apple     ; $249   ;;; Usado  ;https://movilesquality.com/pics/contenido/apple-iphone-7-128gb-rojo.jpg
82; Galaxy M21      ; Samsung   ; $199   ;;; Nuevo  ;https://movilesquality.com/pics/contenido/samsung-galaxy-m21-4-64gb-negro-libre-foto.jpg
83; Pixel 3a XL     ; Google    ; $449   ;;; Usado  ;https://m-cdn.phonearena.com/images/phones/75922-150/Google-Pixel-3a-XL-8z.jpg?w=1
84; Nord SE         ; OnePlus   ; $279   ;;; Nuevo  ;https://www.powerplanetonline.com/cdnassets/oneplus_nord_n30_se_negro_00_l.jpg
85; Xperia 10 II    ; Sony      ; $349   ;;; Nuevo  ;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSicWbxebxCbEtdMjB37GXTGII6vX5avXhcMA&s
86; Redmi 7         ; Xiaomi    ; $99    ;;; Nuevo  ;https://storage.googleapis.com/catalog-pictures-carrefour-es/catalog/pictures/hd_510x_/8948019620142_1.jpg
87; P Smart Pro     ; Huawei    ; $299   ;;; Nuevo  ;https://www.notebookcheck.org/typo3temp/_processed_/e/9/csm_Huawei-P-Smart-2019-554x554_971b9ee135.jpg
88; K50             ; LG        ; $349   ;;; Nuevo  ;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpXkQUuNu9Z-8cvG2spkBos6RuAQbKluW3VA&s
89; Zenfone 5 Lite  ; Asus      ; $299   ;;; Nuevo  ;https://www.notebookcheck.org/uploads/tx_nbc2/AsusZenFone5Lite.JPG
90; Moto E7         ; Motorola  ; $99    ;;; Nuevo  ;https://motorolaes.vtexassets.com/arquivos/ids/157756-800-auto?width=800&height=auto&aspect=true
91; iPhone 12 Mini  ; Apple     ; $699   ;;; Nuevo  ;https://thumb.pccomponentes.com/w-530-530/articles/32/328965/1626-apple-iphone-12-mini-256gb-negro-libre.jpg
92; Galaxy A42      ; Samsung   ; $349   ;;; Nuevo  ;https://storage.googleapis.com/catalog-pictures-carrefour-es/catalog/pictures/hd_510x_/8806090862014_1.jpg
93; Pixel 5a        ; Google    ; $449   ;;; Nuevo  ;https://www.notebookcheck.org/fileadmin/Notebooks/News/_nc3/Untitled5598.png
94; Nord CE         ; OnePlus   ; $329   ;;; Nuevo  ;https://m.media-amazon.com/images/I/51u8DpWulsL.jpg
95; Xperia 1        ; Sony      ; $899   ;;; Nuevo  ;https://www.sony.es/image/bec37fd1196426136aae242507e874b0?fmt=pjpeg&wid=330&bgcolor=FFFFFF&bgc=FFFFFF
96; Redmi Note 6 Pro ; Xiaomi   ; $179   ;;; Nuevo  ;https://oselection.es/sites/default/files/xiaomi-redmi-note-6-pro-32gb-internos-3gb-ram-versi%C3%B3n-global-rosa.jpg
97; P Smart Z       ; Huawei    ; $199   ;;; Nuevo  ;https://consumer.huawei.com/content/dam/huawei-cbg-site/common/mkt/list-image/phones/p-smart-z/p-smart-z-black.png
98; K41             ; LG        ; $279   ;;; Nuevo  ;https://movilstarhn.com/wp-content/uploads/2020/09/LG-K41-LG-K41-ANDROID.jpg
99; Zenfone 4 Selfie; Asus      ; $199   ;;; Nuevo  ;https://static-geektopia.com/storage/t/i/466/46651/xh8ojrhipzgbtxi1_setting_.webp
100; Moto G10        ; Motorola  ; $149   ;;; Nuevo  ;https://m.media-amazon.com/images/I/81muIGaUrhL.jpg
